ageband,sex,notcarer,rate_per_1000
16-39,F,199361000000101,2.9
16-39,F,506401000000109,45.6
16-39,F,933581000000105,0.0
16-39,M,199361000000101,1.2
16-39,M,506401000000109,31.2
16-39,M,933581000000105,0.0
40-69,F,199361000000101,8.6
40-69,F,506401000000109,39.1
40-69,F,933581000000105,0.0
40-69,M,199361000000101,3.7
40-69,M,506401000000109,36.0
40-69,M,933581000000105,0.0
70+,F,199361000000101,18.0
70+,F,506401000000109,43.2
70+,F,933581000000105,0.1
70+,M,199361000000101,10.2
70+,M,506401000000109,42.9
70+,M,933581000000105,0.1
