ageband,sex,preg,rate_per_1000
16-39,F,11687002,3.5
16-39,F,14094001,1.7
16-39,F,25825004,0.6
16-39,F,47200007,0.5
16-39,F,48782003,7.4
16-39,F,77386006,42.7
16-39,F,169711001,0.7
16-39,F,268445003,2.7
16-39,F,289256000,2.1
16-39,F,424525001,1.1
16-39,M,48782003,0.0
16-39,M,51885006,0.0
16-39,M,77386006,0.0
16-39,M,169548007,0.0
16-39,M,169565003,0.0
16-39,M,249098007,0.1
40-69,F,11687002,0.4
40-69,F,25825004,0.0
40-69,F,48782003,0.3
40-69,F,77386006,2.2
40-69,F,102955006,0.1
40-69,F,173300003,0.0
40-69,F,249098007,0.2
40-69,F,268445003,0.2
40-69,F,289256000,0.1
40-69,F,424525001,0.1
40-69,M,11687002,0.0
40-69,M,51885006,0.0
40-69,M,77386006,0.0
40-69,M,169228004,0.0
40-69,M,169548007,0.0
40-69,M,169565003,0.0
40-69,M,248985009,0.0
40-69,M,249098007,0.2
40-69,M,307534009,0.0
40-69,M,314204000,0.0
70+,F,48782003,0.0
70+,F,77386006,0.0
70+,F,169228004,0.0
70+,F,169565003,0.0
70+,F,169620001,0.0
70+,F,173300003,0.0
70+,F,248985009,0.0
70+,F,249098007,0.1
70+,F,268445003,0.0
70+,F,307534009,0.0
70+,M,48782003,0.0
70+,M,51885006,0.0
70+,M,77386006,0.0
70+,M,169228004,0.0
70+,M,169565003,0.0
70+,M,169620001,0.0
70+,M,249098007,0.1
70+,M,307534009,0.0
