ageband,16-39,16-39,40-69,40-69,70+,70+,total
sex,F,M,F,M,F,M,
registered,3660005,3733825,4437190,4578855,1898300,1579305,19887485
ast,570780,624945,680385,557215,255610,165270,2854205
astadm,14950,18135,21545,14075,9190,5035,82930
astrx,373285,290825,952140,654570,603605,431215,3305640
bmi,3093445,2439695,4233625,4098355,1841280,1525770,17232175
bmi_stage,230850,133180,822820,681530,420910,348960,2638255
carehome,3205,555,6120,1135,315,130,11455
carer,59990,25075,268925,114385,160045,90480,718895
chd_cov,45740,33590,282400,420125,542600,616245,1940700
ckd15,7295,5885,122580,102380,442495,312795,993430
ckd35,2800,2785,93600,74165,416965,288310,878625
ckd_cov,5400,6890,16715,21520,24595,23660,98785
cld,20955,29710,111350,143390,46290,42345,394040
cns_cov,69610,74850,180185,190090,267280,233710,1015725
cov1decl,13055,9325,33965,32210,45210,31320,165085
cov2decl,9005,6375,23455,22505,33860,23115,118320
covadm1,622030,308615,2130120,1692450,1688575,1391695,7833490
covadm2,622495,308825,2131160,1692900,1689520,1392455,7837360
covcontra,<13,<13,45,<13,30,<13,100
covrx,622795,309235,2131185,1693285,1689585,1392510,7838590
diab,103020,41665,360100,452490,312850,352980,1623105
dmres,1830,565,9370,8260,9645,9410,39080
domcare,2360,325,6075,1150,245,140,10295
eth2001,2219940,2022885,2877605,2801895,1126140,927750,11976220
eth_norecord,21340,21060,26970,27580,10890,8285,116125
eth_notgiptref,<8,<8,<8,<8,<8,<8,<8
eth_notstated,165675,173860,214845,226905,94000,78025,953310
hhld_imdef,1900,1905,3110,2605,355,355,10220
immdx_cov,16210,17320,57530,60990,51275,51465,254790
immrx,28765,23270,109240,75720,67760,43545,348295
learndis,23615,40490,20935,27480,3300,3545,119365
longres,3385,5860,11165,15130,94765,41710,172020
non_eth2001,1291535,1153605,1734065,1685965,721600,599655,7186420
nonshield,77105,44540,148295,129685,105925,91405,596955
notcarer,61550,43460,86495,65515,63740,37305,358065
nursehome,625,105,1320,170,20,10,2255
preg,281030,570,20300,1105,775,445,304225
pregdel,363755,680,28165,1280,1000,560,395440
resp_cov,9170,10110,129765,130525,186345,195120,661030
sev_mental,26715,33710,65250,70685,25900,15090,237350
sev_obesity,20955,6660,64195,33180,17890,9365,152245
shield,136220,76125,368935,317375,371185,408615,1678455
smhres,4845,5820,17490,18705,8290,5225,60370
spln_cov,21285,10585,35615,23480,17620,12105,120690
total_population,3660005,3733825,4437190,4578855,1898300,1579305,19887485
